Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,1.7,42.8,0.5,5333.9,55.2,371.2,0.2,0.3,32.2,14.1,2,0.5,0.2,0,0.4,0.1,0.2,0.4,0.3,1.1,44,54.1,6.5,322.6,1,0.2,0,0.3,2.2,23.3,36.8,0.2,7.7,13.2
"Energy extraction",6,0,64.5,26.5,9.3,0.9,0.8,0.7,3376,3.8,0.5,31.2,264,0.3,0.1,0.9,0.1,1,0.4,1.4,498,5,26.7,54.2,46.4,1,1.4,0.1,1.9,4.3,14.2,4.3,1.3,13.3,18.6
"Mining (non-energy)",28.4,2.3,0,6,32.5,0.7,0.9,21.4,0.7,184.2,6.6,384.8,965.8,124.8,5,93.7,33.7,9,4.2,123.3,12.1,548.1,23.6,14.2,2.6,0.3,2,0.1,1.1,15.7,9.9,5,1.1,2.5,5.6
"Mining support",2,657.7,458.4,0,0,0,0,0,12.2,0,0,0,4.3,0,0,0,0,0,0,0,5.2,0,0.2,3.4,0,0,0,0,0,0,4.4,0,0,0.2,0.1
"Food, beverages, tobacco",433.6,6,20.1,0.7,0,30.4,1.2,17.3,6.7,59.9,20.4,3.7,6.1,2.5,0.6,1.4,1.2,0.7,0.4,7.5,4.5,15.4,81.5,26.1,1239.1,4.2,8,1.2,9.5,3.5,32.2,57,5.6,30.6,44.4
"Textiles & apparel",23.5,1.7,21.9,0.5,12.4,0,3.6,3.7,0.2,1.4,28.4,3,1.1,0.2,0.3,1.4,0.1,3.3,1.1,101.4,2.6,5.5,42,10.3,21.4,1.9,0.7,0.1,1.8,0.5,12.9,33.7,2.6,16.7,15.8
"Wood",16.1,2.4,63.2,0.6,20.2,1.7,0,2,0,8.9,0,12.4,1.3,7.8,0.3,2.2,0,2.1,2.1,351.3,1,396,23.6,8.5,16.2,2.3,0,0,0.2,31.9,16.9,8.4,8.7,1.4,16
"Paper & printing",10.3,0.7,21.6,0.3,208.9,47.4,5.7,0,0.1,39.9,24,14.9,0.8,3.3,1,3.8,2.6,1.5,0.4,27.2,9.3,20.6,149.1,33.1,59.8,202.9,56.8,7.5,88.8,7.8,151.5,137.7,139.4,25.2,73.4
"Coke & refined petroleum",381.1,85.3,511.6,13,173.5,57.7,9.4,36,0,241.6,38,65.6,130.1,14.5,0.9,6.5,5,2.4,1.4,35.1,110.5,213.1,203.1,1074.6,86.1,6.1,29.5,3.2,40.1,15.6,96.7,159.5,55.1,30,51.3
"Chemicals & pharmaceutical",200.3,17,109.8,1.8,90.2,146.8,11.7,77.2,85.8,0,303.2,32.8,70.3,21.5,2,12,5,3.7,2.2,49.3,9.8,66.6,34.4,12,13.2,4.4,1.3,0.3,2.9,7.5,34.4,25.2,17.7,109,32.8
"Rubber & plastic",42.3,3.3,113.2,2.4,341,81.3,8,52.5,11.7,67.3,0,23.5,21,22.1,4.9,26.9,16.2,19.8,3.8,100.5,8.7,245,130.1,87.5,54.1,3.5,0.4,1,5.8,7.3,37.5,25.3,12.2,14.8,22.3
