Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Wholesale & retail",778.9,5.5,13.2,10.8,1483,155.4,90,181.4,427.1,497.7,282.9,196.8,219,229.8,708.8,391.5,206.7,1088.5,43.8,173.6,363.4,669.4,0,870,603.8,159.6,130.9,62.6,201.7,242.9,624,180.6,94.9,267.1,207.9
"Transportation, storage",202.2,9.4,29.4,7.3,290.8,26.5,21.7,49.9,93.9,84.9,64.3,160.3,81.2,71.9,215.5,85.1,66.8,170.3,6.3,43.4,467.9,404.9,1215,0,47.5,64.5,98.5,25,208.9,111.1,333.6,372.4,60.8,58.4,117.4
"Accomodation and food services",16,0.3,0.7,1,20.7,2.9,2.5,5.1,1.6,10.9,7.5,6.7,5.1,10.3,16.6,8.7,7.8,28.9,2,6.4,28.4,32.2,112.4,89.1,0,11.6,7.9,19.5,44.5,68,203.2,83.8,41.9,95.2,55.7
"Publishing, broadcasting",9.7,0.1,0.2,0.1,42.1,1.3,2.2,12.1,2.7,26.9,15.9,5,1.1,5.8,29.9,8.8,3.2,17.8,0.9,5.2,13.6,15.2,252.3,32,13.2,0,99,9.8,25.9,17.6,257.6,34.4,110,10.4,152.3
"Telecoms",25.1,0.4,2.2,0.9,35.8,7.2,6.1,10.4,10.9,14.6,15.8,13.3,7.1,16.6,23.1,11.7,16.8,24.5,2.6,12.5,42,93.1,240.7,137.9,29.8,90.1,0,65.7,130.1,59.1,245.5,177.3,72.2,71.9,143
"IT and information services",9.8,0.1,0.7,0.3,33.4,3.2,1.6,6.3,3,11.3,9.6,10.1,7.9,9.6,183,18.4,8.1,27.8,2.1,6.5,70.9,45.8,211.9,119.3,17.6,89.2,114.3,0,245.4,45.6,171.5,138.3,28.1,29.1,42.8
"Finance & insurance",225,4.9,6.7,3.8,184.4,28.9,16.5,34.8,35.9,61.4,57.2,32.1,109.9,71,55.2,29.5,38.4,64.3,13.9,39.6,170.4,372.7,794.5,366.5,95.2,33.3,75.8,67.1,0,1561.3,489,313.3,36.9,54.8,141
"Realestate",35.7,1.1,1.4,0.3,58.1,14,5.9,18,9,22,27.4,17.2,7.4,32.5,74.3,30.4,18.7,130.6,3.9,24.2,62.5,118.5,908.2,186.7,200.2,37,87.1,54.4,147.8,0,338,200.9,113.4,114.4,143.3
"Other business services",140.7,11.9,14.5,10.5,550.4,43.4,35.6,99,100.4,300.2,164.9,178.1,93.8,203.3,807.5,246.1,134,860.9,29.5,137.1,651.9,702.7,1829.7,603.5,242.9,135.1,319.4,248.8,721.9,578.1,0,386.1,132.7,203.7,373.7
"Public admin,  defence",17.5,0.1,0.3,0.3,6.1,1,0.8,1.9,3.1,3,3.2,3.3,1.3,3.3,10.8,3.6,2.4,9.5,0.4,1.9,25.3,16,65,90.9,2.2,3.2,30.8,5.9,31.3,17.3,28.1,0,4.8,2.6,25.1
"Education",1.9,0,0,0,3.2,0.5,0.4,1,0.6,2,2.5,1.1,0.5,1.2,2.8,1.8,1.9,2.8,0.1,0.9,3.7,4.5,22.4,7.6,0.8,1.1,4,3.9,13.2,3.3,20.3,0.5,0,1.2,6.2
"Healthcare, socialwork",8.6,0.3,0.7,0,114.7,2.7,14.4,16.8,12.8,334.3,32.6,27.2,16.1,32.1,31,23.5,31.4,58.7,1.4,51.3,241.9,72.5,427.8,556.7,30.5,10.2,9.3,22.6,77.5,50.6,269.7,1.6,2.7,0,266.8
"Arts, entertainment",41.5,0.4,4.1,1.5,51.1,7.9,2.7,6.4,4.9,15.8,9.2,7.5,27.6,10.4,23,9.2,7.5,13.3,2.9,8.2,61.9,64.1,217.7,99.3,104.6,42,38,42.9,67.8,38.3,183,61.8,27.8,145.3,0
