Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Wholesale & retail",1719.3,427.1,1382.5,47.1,5058.4,1076.3,364.5,1031.7,857.2,2550.2,558.2,408.1,1528,627.8,209.5,528.6,583.2,2550.7,150.1,420.2,839.8,3001.8,0,1884.6,586.3,247.1,673.9,272.1,180.2,455.4,1127,1498.3,318.4,972.6,449
"Transportation, storage",294.6,333.8,923.5,37.2,776.9,155.6,120.3,285.4,287.9,504.7,97.3,264.8,610.3,216.5,47.2,143.8,157.6,454.9,30.5,106.7,193.5,777.7,1962.1,0,75.9,69.3,189.2,53.1,200.1,139,606.6,776.2,93.6,167.1,141.7
"Accomodation and food services",0.9,20.6,18.4,4.6,24.2,2.6,3.7,16.1,1.3,36.9,13.6,6.5,2.4,8.3,5.1,10.7,11.4,11,8.1,14.7,20.2,103.3,114.6,686,0,26.1,39.5,10.6,4.6,207.3,587.8,127.7,80.7,201.4,61.8
"Publishing, broadcasting",3.5,0.9,7.1,0.1,33.7,0.8,1.6,30.7,1.9,11.1,1.7,2.9,0.5,5.4,2.2,3.2,4.6,7.6,0.6,3.9,8.6,13.3,124.6,25.4,6,0,73.9,19.9,71.8,20.5,228.4,118.9,34.1,23.2,25.2
"Telecoms",24.5,15.4,103.3,6.3,84.4,77.7,44.9,65.9,1.5,58.2,37,27.7,39.1,188.4,54.1,59.8,132.5,69.4,11.6,30,103.7,899.7,2170.9,991.6,50.6,163.9,0,300.6,528.4,282.9,1147.6,2829.8,351.6,207.2,149.4
"IT and information services",0,5.4,0,0.1,18.3,3.3,6.3,10.3,3,6.9,2.6,5.7,20.4,7.1,1.2,5.1,3.7,7.4,0.9,2.4,24.2,42.4,64.7,119.6,2.4,9.9,62,0,0.8,19,84.3,0,28.6,12.6,16.5
"Finance & insurance",1032.6,227.3,1729.9,26.4,304.6,130.8,96.6,129.5,13.9,339.4,69.6,79.7,106.6,258.5,112.8,99.7,197.5,130.8,72.9,116.6,505.1,921.5,3869.1,1469.7,185,116.1,685.3,109.7,0,5758.7,2182.8,1299.2,134.8,506.6,303.3
"Realestate",63.2,20.6,48.1,2.6,141.2,55.8,28.1,94.2,13.4,83.7,33.7,36.1,27.1,109.1,17.3,45,53.9,161,22.2,74.3,114.1,494,3583.8,602.6,310.4,114.1,795.5,91.7,824.8,0,1630,1391.9,229.4,579.7,439.5
"Other business services",188.5,365.2,592,55.1,822.4,92.1,102.7,341.8,64.1,646.1,102.3,170.1,185.8,349.1,106.7,203.8,251.2,487.7,102.4,240.5,509.7,2458.1,3795.7,1830.1,298.4,319.6,1523,245.6,1835.7,1939,0,2448.9,283.3,791.9,603.6
"Public admin,  defence",0,63.5,0,4.6,12.3,0,0,15.1,0,60.4,0,0,0,0,0,0,0,0,8.1,8,0,0,0,206.5,19.5,35.6,172,0,10.6,521.9,500.8,0,0,154.4,70.8
"Education",0.4,15.4,5.1,1,13.6,1.6,1.6,10.5,0.4,14.5,4.5,2.7,2.9,4.2,2,41.2,5.2,3.7,1.9,4.7,14.8,56.3,75.8,246.8,7.1,9.3,25.4,7.2,53,41.5,163.3,37.2,0,34.1,17.9
"Healthcare, socialwork",14.3,2.9,1,0.2,34.1,1.6,4.2,12.7,1.6,38,4.3,5.2,2.8,12.9,2.2,6.9,8.1,16.6,1.4,10.5,20.5,43.8,171.3,106.9,12.7,12.2,61.6,10.9,223.4,67.1,210,1458.7,14.2,0,50
"Arts, entertainment",16.8,18,140,3.4,36.7,5.5,4.9,11.7,2.6,13.3,3.2,7.1,59.1,9.3,4.3,7.3,7.5,23.6,6.4,11.6,12.6,26.7,96.5,86.2,23.2,18.3,102.8,17.2,85.2,58.9,131.8,196.9,18.5,70.7,0
