Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,5.8,12.9,1.9,23051.3,481.6,391,165,11.6,169.5,108.2,2.1,11.7,2.9,0.7,1.5,1.9,2.5,0.2,17,21.1,54.7,432.5,18.3,1040.5,9.8,1.7,1.6,4.6,32.5,110.9,95.9,69.7,46.6,58.5
"Energy extraction",118.4,0,14.2,121.5,178,18.7,3.9,40.3,11759.5,418.4,52.9,36.9,95.4,8,2.3,4.5,5.4,29.2,0.9,3.7,1806.8,38.2,112.6,130,106.8,11,13,1.8,9.2,52.9,57.8,29.8,41.5,56.9,110.3
"Mining (non-energy)",143.7,68.1,0,27,54.4,14.9,3.2,43.8,268.1,445.5,12.1,716.9,2759.8,64.5,3.2,10.9,14,4.2,0.7,29.3,67.7,820.4,52.5,35.4,4.5,0.6,0.4,0.3,0.8,74.1,23.1,40.8,4.4,1.1,15.5
"Mining support",182.9,1184.3,121.8,0,29.8,0,1.3,6.5,10.7,3.8,11.9,2.7,1.3,0.2,0,0,2.3,0.1,0,1,38.5,68.4,0.1,3.3,0,0,0,0,0.2,0,3.8,10.8,5.8,0.1,0.2
"Food, beverages, tobacco",1070.1,27.6,16.7,3.2,0,144.5,15.2,56.1,18.8,104.8,34.2,26.4,52.5,17.5,9.4,9.7,13.8,22.6,1.4,10.4,34,77.2,575.9,56.1,1318,38.2,19,11,28,40.2,96.7,90,56.3,78.1,207.2
"Textiles & apparel",183.4,38.2,15.5,4.7,335.2,0,19.1,50.7,13.7,104.6,119.4,14.8,32.7,16.3,12.1,12,15.7,95.3,3.4,82.2,29.3,60.7,245.9,61.4,68.6,32.7,15.7,5.3,21.2,40.6,77.8,84.1,36.7,108.9,118.2
"Wood",142.2,32.8,39.9,4.7,105.6,53.1,0,168.4,11.4,49.5,52.8,36.4,11.8,37.5,10.2,14,18.3,74,4.7,394.5,54.7,1007.3,183.4,47,46.1,38.2,7.7,5.9,8.1,407.7,103.5,27.7,39.8,9.9,105.8
"Paper & printing",109.9,17.7,18.2,2.2,889.7,156.4,37.8,0,17.2,178.7,111.4,44.9,19.4,23.6,25.9,23.1,22.4,44.8,1.3,32.2,56.6,44.3,496,84,136.3,809.7,53.5,53.1,152.9,45.4,377.7,154.6,223.6,111.9,140.4
"Coke & refined petroleum",2353.9,564.6,419.3,82.5,741,356.5,77.9,176.1,0,1349.8,494.5,208.2,591.5,101.8,41.5,58.1,63.2,121.4,10,56.7,766.7,606.7,1251,3942.6,237.6,124.5,104,50.1,197.3,209.1,560,470.9,249.3,248.6,363
"Chemicals & pharmaceutical",1198.2,119.7,80.7,12.6,476.3,538.7,74.6,232.5,308.9,0,1306.2,94.3,207.9,82.8,61.7,71.5,48.7,152.6,7.7,58.5,75.5,203,234.8,100.1,54.5,75.8,19,8.4,19.6,101.4,173,59.3,67.7,301.3,167.5
