Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.6,14.8,0.4,18667.3,326.1,195.1,39.1,15.5,169.3,50.3,2.2,1,1.2,2,3.5,1.2,2.1,0.5,24.5,34.6,69.5,874.7,25.6,382.1,5.9,0.5,0.8,7.3,8.5,55.1,97.7,60.2,25.7,106.5
"Energy extraction",0.7,0,0.1,0.2,1,0.1,0.1,0.3,125.8,3.9,0.2,0.7,1,0,0,0.1,0,0.2,0.1,0.1,40.8,0.2,1.5,0.9,0.3,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.2,1.1
"Mining (non-energy)",23.4,0.6,0,0.5,1.4,0.7,1.8,4.2,602.7,71.9,1.6,158.4,1778,50.8,8.1,30.9,7.7,1.9,1.8,28.5,176.1,222.2,24,10.5,2.3,0,0,0,1.5,1.5,1.4,4.2,0.5,0,4.7
"Mining support",9.5,1.7,2.2,0,0.5,0,0,0.1,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,2.2,3.5,0,0.1,0,0,0,0,0,0,0.1,0.3,0.1,0,0
"Food, beverages, tobacco",4808.9,0.1,0.6,0.2,0,120.5,10.2,28.4,20.2,206.1,5.2,7.8,0.9,1,2.7,2.3,1.2,2,2.8,12.3,31.9,47.3,920.1,43.3,1613.2,11.1,2.1,1.8,26.3,12.6,54.4,256.5,173.8,157.1,542.7
"Textiles & apparel",75.7,2,18.6,1.5,22.2,0,16.3,14.5,6.3,25.8,23.2,9.6,1.5,3.4,17.6,10.7,4.4,48.1,30.2,117.2,29,60,347.1,65.2,26.5,27.5,7.2,2,57.8,4.3,53.3,116.6,34.8,83.4,187.3
"Wood",4.6,0.1,1.9,0,2,0.9,0,3.9,0.4,1.5,0.8,2.2,0.1,0.7,1.1,1.2,0.5,2.6,2,36.8,4.7,79.2,10.1,1.4,0.6,0.6,0.2,0.1,0.4,8.3,1.8,0.9,1.2,0.1,4.8
"Paper & printing",13.8,0.1,2.3,0.1,86.7,15,8.2,0,4.2,19.3,7.2,11.1,0.8,1.8,11.5,8,2.4,6.7,1.1,13.8,10.9,13.3,180.9,16.2,8.9,121.3,14.2,6.1,70.5,7.4,48.8,39.1,51.7,9.2,64.6
"Coke & refined petroleum",766.5,13.3,165,8,150.8,45,31.6,27.7,0,360.3,19.6,119.4,73.7,12.5,28.3,32.9,12.3,28.5,14.4,57.3,712.3,445.4,764.4,2253,30.5,15.7,29.4,9.5,114.5,48.6,108.7,170.1,75.2,33,150.2
"Chemicals & pharmaceutical",389.5,2.9,33.9,1.1,78.4,125.3,40.5,62.8,158.1,0,229.4,56.2,29.1,13.8,61.9,56.6,9.6,40.7,19.7,55.7,51.5,109.1,96.6,21.7,6.1,11.1,1.1,0.7,8,19.2,32,23.1,23.6,100.3,86.5
"Rubber & plastic",10.6,0.4,4.7,0.2,41.2,9.6,3.6,5.5,2.7,11.7,0,5.5,1.7,2.5,21.6,18.8,5.3,32.9,5.1,16.6,4.5,66,52.5,18.6,2.3,1.1,2.7,0.4,2.7,2.7,5.4,3.5,2.2,2.2,7
"Other mineral (non-metallic)",25.8,0.8,16.5,0.7,57.2,5.6,15.1,1.9,3.3,18.4,9,0,9.2,7.4,54.2,25.1,6.3,30.9,8.9,19.1,18.6,1317.7,69.3,11.6,6.1,1.1,2.4,0.4,4.6,25.2,10.2,10.5,10.2,4.5,17.1
