Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.1,0.6,0,3587.1,45.3,1296,387.8,0.3,64.6,25.3,2.3,17.7,2.4,0.5,0.9,2.1,4.3,0.3,11.7,40.5,53.5,38.6,14.4,387.5,2.4,0.7,2.1,4.9,16.3,32.9,17.4,7.6,20.2,10.5
"Energy extraction",1.9,0,0.8,0.1,9.2,1,2.7,3.4,264.2,42.9,1.5,8.9,41.1,2.4,0.6,2,9.9,4.1,0.6,3.8,216.7,10.6,22.5,56.6,5.8,1,0.8,0.3,0.6,4.9,5.2,2,1.3,4.5,3
"Mining (non-energy)",4.3,0.6,0,0,5,0.4,3,8.4,4.9,75,2.3,153.1,285.2,10.8,0.5,1.9,7.2,1.4,0.2,16.9,18.3,220.1,13.6,10.3,1.4,0.5,0.3,0.3,0.9,16.4,3.9,5.3,1.2,1.6,1.2
"Mining support",0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Food, beverages, tobacco",405,1.6,1.8,0,0,21.6,23.2,36.2,10.7,137.6,17.2,16.1,27.5,26.4,10.5,18,41.8,17.1,4.7,56.4,61.7,75.2,325.6,61.7,2186.8,20.7,13.4,20,61.3,46.7,200.7,110.2,48.3,157.5,170
"Textiles & apparel",4.8,0.3,0.4,0,12.7,0,17.4,12.7,2.3,19.7,13,4.8,7,9,3.9,7.3,14.5,31.8,3,134,12.7,22.4,78,10,11.6,3,2.3,6.2,8.2,5.2,23,12.3,4.3,15,10.4
"Wood",38,2.3,5.3,0.1,44.9,7,0,81.6,1.6,25.3,49.1,33.7,50.9,81.1,13.2,24.9,45.7,29.3,5.5,376.9,197.6,1320.3,127.4,22.7,31.4,3.6,3.7,10.4,18.2,140.3,60.4,45.6,6.6,22.1,11.2
"Paper & printing",13,0.7,5.5,0,253.3,19.5,127.1,0,2.7,239.9,56.5,46,19.7,45.4,17.6,24.6,55.2,18.6,5,52.4,24.3,48.6,273.4,44.3,89.6,904.7,19.5,92.4,104.7,22.5,438.9,183.4,47.9,50.7,134.8
"Coke & refined petroleum",153.1,11.3,29.4,0.3,62.8,14.7,41.4,28.9,0,184,39.5,85,203,39.7,8.9,33.7,20.4,13.4,8.8,37.8,148.4,251.9,224.6,839.8,46.1,7.5,5.9,22.6,22.4,39.1,133.6,125,103.3,178.9,83.6
"Chemicals & pharmaceutical",113.6,7.8,14.5,0.1,145.3,86.3,117.7,221.9,84.1,0,454.8,123.4,212,109.1,109.5,125.2,89.8,72.5,15.4,147.6,68.2,227.3,290.8,78.3,62,18.3,19.6,28.9,41.1,39.1,220.1,41.1,19,164.9,58
"Rubber & plastic",31,4.5,8.1,0.1,218.8,26.2,50.3,83.8,4.5,102.4,0,97.3,62.7,78,37.2,126.3,175.3,224.7,47,166.2,24.7,577.3,263.3,58.6,47.3,17.1,7,14.7,45.2,19.2,118.2,27.7,11.7,123.7,29.2
"Other mineral (non-metallic)",27.3,3.6,23.1,0.1,165.5,10.5,86.6,11,3.7,58.1,104.6,0,116.2,101.9,31.7,95,54.3,71.2,9.3,90.8,40.7,2487.3,138.6,56.4,50.6,8.6,8.1,20.2,32,78.1,109.5,75.5,6.6,32.4,14.3
"Metal (basic)",21.5,7.7,4.4,0.2,48.7,8.5,22.1,39.9,7.1,110.8,47.5,47.8,0,1250.7,57.9,456.7,900.6,398.3,68.6,413,171.8,935.6,135.3,34.9,15,5.2,6.7,7.2,19.7,46.3,63.3,19,8.3,20.9,13.4
"Metal (fabricated)",78.2,21.5,16.9,0.3,284.1,18.9,125.2,17.7,5.5,50.8,90.8,64.8,511.3,0,80.1,433.5,1283.6,539,74.9,447.8,54.8,1337.7,468.6,90.4,57.3,13,13.7,30,55,52.3,140.3,94.5,42.3,60.5,35.3
"Computer, electronics",11.6,1.8,1.2,0,21.3,3.6,7.4,9.2,4.2,17.2,6.1,6.4,21.4,17.1,0,30,45.5,21.7,3.8,52.3,29.7,37.3,100.4,29.9,12.6,8.2,39.4,31.5,26.5,4.8,81.7,11.1,3.6,19.3,13
"Electrical equip.",45,7.1,5.4,0.1,49.2,6.2,12.8,31.6,7.2,26.3,9.4,11.1,115,63.2,71,0,279.7,96.3,60,254,152.4,449.6,184.2,108,31.1,9,38.7,23.9,31.4,26.2,143.1,47.4,12.9,47.2,31.3
"Machinery & equip.",53.6,33.1,29.2,0.1,80.2,20.5,25,34.4,10.1,42.3,22.9,22.8,180.9,105.2,35.1,126,0,687,36.1,204.1,117,324.4,281.6,115.5,29.1,7.2,30.2,31.5,26.5,19.1,245,38.6,8.3,45.3,18.3
"Motor vehicles",4.2,1.7,1.5,0,10.1,3.4,3,3.7,0.6,5.3,3.7,3.4,11.3,10.2,3.4,23.8,99.8,0,20.9,21.9,14,32.3,181.1,53.4,5.1,1.6,2.5,13.8,8.7,7,45.6,10.4,2,10.3,6.2
"Other transport equip",1.9,0.3,0.2,0,3.7,0.6,1.3,1.4,0.7,2.9,0.9,1,2.9,2.2,1.3,3.1,16,2.7,0,5.1,4.1,6.5,28.9,54.7,1.9,0.9,1.1,3.2,3.3,1.7,18.4,43.1,0.7,2.4,2.4
"Other manufacturing",193,16.4,13.6,0.3,131.6,26.8,60.8,67.9,21.7,81.9,24,40.9,428.8,225,97.7,173.5,311.2,90.1,50.8,0,385.6,273.7,283.2,419.6,69.5,17.4,118.1,44.5,34.5,33.2,181.1,98.7,21.7,335.3,34.8
"Utilities",291.6,90,128.3,1,701.1,152.8,452.9,1350.4,8.9,981.7,493.3,600,2546.2,262.2,109.1,174.4,245.5,197.9,50.8,222,0,419.7,937.2,1740.6,802.9,71,170.6,90.3,369.8,3319.2,795.5,630.7,628.2,962.1,412.3
"Construction",159.8,21.5,43.4,0.4,87.3,20.6,322.5,163.7,66.9,216.3,108,284.7,137.7,254.4,72.2,122.2,243.6,135.4,10.5,345.9,680.6,0,1076.6,1233.2,181.1,84.5,46,107.6,321.2,4158.7,560.7,648.1,461.7,524.7,328.6
"Wholesale & retail",888.9,51.1,88.1,1.2,2699.3,519,727.6,728.1,396.7,2091.5,543.5,502.5,1102.7,890,384.4,744.6,1520.8,1300.7,153.1,1987.2,1935,2044,0,2127.3,1383.5,362.5,338.8,462.3,604,330,2417.7,669.2,263.6,865.5,945.3
"Transportation, storage",83.2,12.2,65.6,0.7,413.5,61.1,250.1,296.7,53.3,340.8,132.8,262.5,329.8,226.7,59.1,124.6,276.6,135.3,22.8,213.9,726.7,570.4,1717,0,193.7,138.7,58.2,103.8,412.5,212.7,925.4,312.4,111.3,225,227.1
"Accomodation and food services",46.6,4.3,5.5,0.2,86.2,14,41.1,43.1,4.9,64,26.8,34.3,54.6,66.6,15.4,32.1,87.6,46.6,16.5,92.1,173.8,234.3,605.1,502.8,0,68.3,29.9,145.8,278.8,321.1,1452,297,210.7,693.3,235
"Publishing, broadcasting",3.5,0.8,0.6,0,56,2.4,7.6,162.8,1.6,23.8,4.9,8.7,5.5,12.3,10.8,8.2,16.2,8.7,2.7,30.4,22.2,34.7,249.2,45.6,34,0,37.9,40.1,145.5,30.6,989.7,86.6,59.8,38.2,31.6
"Telecoms",20.4,3.3,7.3,0.1,58.7,14.7,17.5,36.7,2.6,26,15,21,41.3,38.3,17,10.4,57.3,17.6,9.6,57.4,67.1,94.8,442.8,239.6,97.8,184.4,0,84.9,390.3,69.7,425.1,175.4,45.3,137.8,82.3
"IT and information services",5.5,3.9,3.1,0,55.8,9.2,12.6,46.5,3.7,31.2,18.4,31.7,40.6,48.7,33.7,21.7,32.2,24.1,7.5,65,115.5,41.4,394.5,79.7,55.2,54.6,110.3,0,527.2,36.2,523.6,68.7,42.8,110.4,66.8
"Finance & insurance",176.6,40.6,35.4,0.4,305.4,60.9,173.9,192.1,72.5,263.8,105,166.4,513,261.7,119.7,120,364,196.5,54.8,364.9,476.5,732.8,1837.4,725.4,318.5,131,142.6,311,0,1948.9,1569.3,997.3,281.2,333.8,280.4
"Realestate",52.5,13.8,7.4,0.1,149.6,40.8,91.2,93.8,19.4,97,103.2,115.3,56.8,238,55.2,90.5,219.9,72.5,21.9,273.2,161.6,831.5,3174.8,1004.1,867.4,175,270.7,339.3,565.9,0,1475,1453.6,481.5,771.8,479.2
"Other business services",243,80.5,71.3,1.6,1161.1,118.8,273.2,473.5,66.1,751,246.8,380.6,492.7,630.7,300.7,284.8,877.9,452.5,136.8,939.6,872.6,3229.2,5079.7,2407.1,1080.6,768.3,684.8,831.2,3221.6,1823.9,0,1337.6,464.6,1280.9,894
"Public admin,  defence",3.3,1.3,0.9,0,17.9,1.3,5.8,9.9,1.3,7.6,3.7,7.3,7.7,17.5,8.1,10.9,24.3,16.1,2,22,32.9,137.2,66.6,89.1,20.3,15.8,13,63.9,36.5,45.9,129.6,0,12.5,27.1,15
"Education",1.5,1.9,0.6,0,7.5,2.1,2,3.7,0.5,4.3,1.5,2.3,3.6,4.4,2.5,2.2,6.8,2.7,0.6,6.8,11.5,15.1,32.2,24.7,7.2,4.3,4.1,32.1,27.2,10.2,87,13.8,0,20.6,5.8
"Healthcare, socialwork",5.2,3.8,3.6,0,385.8,10.7,52,63.4,7.2,46.7,36.7,32.9,104.5,60.3,22.7,16.2,18.9,15.3,12.2,64.9,79.8,21.4,241.5,213.5,220.7,22.1,144.3,27.4,150.6,10.4,37.3,30.6,14.4,0,35.4
"Arts, entertainment",7.9,1.1,6.9,0.1,47.3,13.7,9.3,15,2.5,18.6,7.8,11.8,50.5,18.2,6.4,6.5,26.1,11,5.5,43,26.1,61.9,250.2,60.6,180.9,31.1,19.2,68.2,75.4,36.5,186,75.8,20.7,293.9,0
