Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.6,0,0,5055.2,60.5,14.2,2,1,7.9,5.5,1.8,3.1,2.1,0.2,0.7,0.7,0.1,0,7.5,13,0.2,4.3,23.9,1165.9,0.1,0,0,0.1,1.1,0.9,11.3,2.2,6.2,24.7
"Energy extraction",0,0,0,0.2,5.8,0,0,0,2.3,5.1,0,13,76.9,0,0,0,0,0,0,0.2,180.7,0.3,0.7,0.3,1,0.1,0.2,0,0,0.3,0.6,0,0,2.1,1
"Mining (non-energy)",2,0,0,0,1.5,0.1,0,0.6,0.2,16.7,0.2,55.3,874.2,0.1,0,0,0,0,0,0.1,0.3,29.7,6.7,3.8,11.7,0.2,1.7,0.2,0.5,7.7,2.4,0.3,0.4,0.6,1.2
"Mining support",15,1.2,2.5,0,1.5,0,0,0.3,1.6,0.1,0.4,0.3,0.1,0,0,0,0.1,0,0,0.1,4,8.2,0,1.4,0,0,0,0,0,0,0.3,1.6,0.6,0,0
"Food, beverages, tobacco",466.6,0.4,0.7,0,0,5.9,2.3,12.7,34.9,26.1,8.5,3.1,5.4,5.4,1.2,2.4,1.6,0.2,0.3,4.6,16.9,26.2,127.8,37.7,2044.8,3.7,12.6,1.7,6.3,17.7,30.7,66,32.2,54,65.2
"Textiles & apparel",4.2,0.1,0.1,0,12.6,0,0.5,2.8,5.9,2.2,2.7,0.6,1.4,1.7,0.3,0.7,0.6,0.1,0.1,1.4,2.9,8.1,31.3,8.5,12.2,0.9,4.4,0.6,1.2,1.3,7,3,0.7,4.2,4.4
"Wood",3.3,0,0.3,0,13.3,3.2,0,3.3,1.5,12.1,4.3,3.3,0.8,5.6,0.7,2.6,2,0.8,0.3,143.2,22.5,58.7,1.2,3.4,26.1,4.7,0.2,0.1,0.2,1.2,0.8,0.8,0.1,0.9,6
"Paper & printing",4.8,0.8,1.1,0,167,20,3.4,0,2.6,15.8,19.8,3.8,2.6,2.1,0.3,4.2,0.5,0.8,0.3,2.1,27.2,29.4,86.9,22.3,119.1,40.5,6.3,4.5,52.6,1.6,126.4,203.7,17.9,18.7,150.5
"Coke & refined petroleum",1053.6,10.3,37.1,0.9,119.1,24.9,15.7,35.2,0,394.5,64.7,110.8,67.4,139.6,2.5,13.3,17.5,4.2,1.1,37.9,708,197.8,825,2610,199.7,10.5,30,12.9,14.9,2.3,221.1,209,35.5,162.9,166.8
"Chemicals & pharmaceutical",84.5,1.8,3.6,0.1,57.8,37.2,1.8,20,19.1,0,184,4.4,17.9,15.3,1.1,7.8,1.6,0.3,0.6,7.5,16.4,20.6,46.8,25.9,34,1,6.7,0.9,3.2,31,22,10.6,7.9,203.3,9.6
"Rubber & plastic",11.9,2.7,0.9,0.1,147.3,18.4,2.9,15.7,3.4,12.8,0,6.5,8.3,17.6,3.5,6.5,10.9,0.8,1.4,12.3,15.6,94.6,748.9,89.8,76.3,1.8,62.7,9.6,1.2,30.4,84.7,44.5,0.7,3.6,16.2
"Other mineral (non-metallic)",3.3,0.1,0.2,0.1,85.4,5,0.5,1.6,5.1,11.6,6.3,0,13.1,4.7,0.6,14.5,3.5,0.6,0.5,6.1,13,1059,14,11.2,65.1,1.1,3.3,0.5,0.9,27.2,5.3,1.9,0.8,32.1,2.5
