Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,0.4,0.4,0,7235.5,189.5,170.8,27.6,0.5,31.4,23.4,0.8,0.1,0.3,0.1,0.2,0,0.1,0,14.2,0.1,11.9,62.8,0.8,227.8,0,0,0.1,0.6,1.4,4.4,7.6,7.5,0.3,0.9
"Energy extraction",11,0,0.8,2.3,8.4,1.8,0.2,2.5,473,12.8,1.3,9.6,49.3,0.4,0.1,0.2,0.2,0.5,0.1,0.9,142.8,1.2,2.4,1.1,1.8,0,0,0,0,0.2,0.1,0,0.4,0.2,0.8
"Mining (non-energy)",28.6,0,0,0,8.5,0,0,5.2,0,54.9,1.3,168.7,50.6,3.9,0,0,0,0,0,15,3.3,153.1,4,1.6,0,0,0,0,0,4.1,0,0,0,0,0.2
"Mining support",206.5,43.5,13.5,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0
"Food, beverages, tobacco",1779.1,1.6,0.1,0,0,0.7,0.4,7.6,5.8,34.8,2.3,2.2,0.1,0.6,0.3,0.3,0.3,0.3,0.2,4.5,0.8,2.6,80.8,2.2,1087.5,0.2,1.7,0.4,5.6,2.8,3.7,6.9,24,13.7,3.6
"Textiles & apparel",110,42.2,2.2,0,22.5,0,12.3,15.2,3.4,10.4,37.8,7.4,0.8,4.9,4.2,6,2.8,24.2,6.6,119.8,6.8,27.5,67.9,20.8,29,3.7,4.2,0,14.6,1.2,8,26.4,11,22,27.5
"Wood",40.6,0,0.9,0,12.9,16.8,0,24.4,0,6.2,7.9,10.8,0.5,7.1,2.3,4.8,4.7,0,4.1,298.6,0,246.5,16.2,4.2,5.8,0,0.9,0,0.8,28.8,2,1.7,3.2,0,3.5
"Paper & printing",48.8,13.4,1.6,0.4,279.6,85.6,25.3,0,0.2,30.2,32.2,23.3,1.8,7.9,10.3,14.3,8.2,10.6,3.1,41.3,11.3,18,116.9,20,33.3,61.5,26.9,8.4,68.7,7,58.5,28.8,51.4,8,32.6
"Coke & refined petroleum",687.7,306.4,36.3,14.5,124.8,54.5,24.1,17.5,0,156.2,20.3,62.4,49.5,13.5,6.3,14.3,12.9,10.7,10.9,32.7,157,144.7,133.8,547.9,31.8,2.2,16.2,3.6,30.9,12.4,30.1,35.2,21.1,7.4,20.6
"Chemicals & pharmaceutical",558.5,113.2,10.4,3.1,124.8,302.3,49,60,162.3,0,374.7,46.2,28.1,23.6,21.3,38.2,15.5,23.6,11.7,66.8,18.2,55.4,31.7,7.2,7.5,2.4,1,0.4,3.4,10.7,17.2,15.3,13.7,134.8,17.9
"Rubber & plastic",108.6,46.9,10.2,0,363.5,265,31.3,38.1,20.4,55.4,0,33,11.8,31,54.7,93,63.2,140.7,37.2,139.2,13.3,244.9,110.7,49.8,30.6,1.8,17,1.6,6.4,10.4,18.6,8.2,7,6.2,8.4
"Other mineral (non-metallic)",57.7,8.5,14.4,0,96.7,7.5,30.9,3.1,0.1,19.9,25,0,17.3,21.9,32.3,29.3,17.9,31.2,8.7,34.6,9.4,1149.3,32.9,9.5,17.7,0,3.5,0,2.9,24.9,7.6,5.9,7.7,2.9,5.6
"Metal (basic)",8.2,103.2,1.6,0,14.2,1.1,3.6,6.3,0,6.2,16,21.7,0,383.9,42.3,234.9,221.6,141.7,82.3,211.5,16.6,381.4,11.1,3.8,0,0.1,1.7,0,0.4,1,1.3,0.6,0.6,0,1
"Metal (fabricated)",122.9,292.9,11.7,0,191.7,80.4,57.3,12.4,34.1,25.3,47.9,32.8,62.6,0,47.2,101.5,206.6,149.4,57.3,153.4,31.4,503.2,55.8,21.5,18.2,1,6,1.8,4.9,15.3,18.9,17.7,8.5,1.9,9.7
"Computer, electronics",5.9,11.6,0.8,0.8,4.1,4,1.5,3.2,2.9,2.2,4.3,2.1,0.5,4.3,0,49.2,22.4,21,7.9,24.1,7,22.3,25.2,6,5.1,2.9,96.3,11.3,12.2,1,16.5,12.4,8.3,8.6,12.9
"Electrical equip.",45.1,104.8,5.5,2.8,28.1,17.9,7.7,5.6,11.8,11.5,15.8,10.9,16.4,28.4,197.7,0,153.4,154.1,53,83.3,111.5,404.9,73.3,32.4,13.7,2.7,87.2,6.9,7.5,18.1,24.4,13.5,12.7,4.1,25.6
"Machinery & equip.",80.4,153.8,5.8,0,23,24.1,8.6,8.8,0,5.7,10.6,11.8,10.7,14.6,10.7,19.9,0,47.1,24.2,28,14.1,65,20.8,11.8,1.9,0.3,4.1,0,2.8,2,7.4,13.1,3.3,0.8,3.2
"Motor vehicles",6.8,2,0.6,0,0.1,0.1,0,0,0,0,0.1,1.4,0.1,0.1,0.6,2.6,0.5,0,0.2,2.8,1.2,5.8,32.8,17.7,0,0,0.3,0,0,0.5,0.1,2.6,0,0,0.1
"Other transport equip",0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.8,0,0,0,0.1,1,1.1,3.7,0,0,0,0,0,0,0.1,0,0,0,0
"Other manufacturing",161.1,124.8,5.8,4.8,87,107.4,22.6,17.4,20,20.3,15.5,19.7,29,17.3,26.3,31.3,35.3,42.1,13.6,0,42.8,129,68.9,59.9,27.1,4.5,30.4,3.9,34.7,50.7,36.9,33.7,53,74.1,41.1
"Utilities",248.7,431.2,37.9,7.7,235.8,135.2,44.6,72.6,100.1,89,58.8,84.9,88.9,30.9,18.3,23.9,27.8,26.1,11.5,41.4,0,41,123.7,70.4,88.1,5,42,4.2,43.6,60.2,27.7,56.1,85.4,24.2,47.6
"Construction",4.1,4.6,0.6,0,1.2,1,0.4,0.4,0.1,0.4,0.4,0.7,0.5,0.5,0.2,0.3,0.4,0.2,0.1,0.7,2.1,0,2.9,2.3,0.7,0.1,1.2,0,2.9,8.3,1.5,2,1.2,0.4,0.7
"Wholesale & retail",541.3,128,14.6,4,1372.3,436,76.9,78.9,64.1,105.7,128.2,85.8,49.3,79.4,118.5,143,90.8,95.8,46,161.3,58.8,330.4,0,82.2,129.4,14.5,56.1,9.1,29.1,17,48.6,26,28.3,27.7,32.6
"Transportation, storage",103.4,198.9,11.5,6.1,187.6,75.6,31.7,27.1,15.4,30.1,26.6,39.2,17.2,16.3,14.4,20.5,17.4,20.3,5.2,35.8,22.2,70.7,217.1,0,16.6,6,24.3,3.4,43.1,3.6,24.7,20.2,18.1,5.1,11.3
"Accomodation and food services",41.5,11.4,1.7,4.4,40.2,36.2,8.7,6.7,4.6,8.1,8.3,7.2,4.1,7.7,3.9,5.7,8.1,6.7,7.8,15.4,22,36.8,102.6,106.4,0,5.7,12.8,10.1,75.6,17.5,90.3,39.8,52.6,41.7,42.3
"Publishing, broadcasting",1.8,1.6,0,0,9.8,0.9,0,4.1,0,1.4,0.9,1,0,0.7,1.3,0,0,0,0,1.6,0,2.3,17.4,2.6,2.6,0,8.2,3.6,9.1,0.6,19.9,4.8,12.4,1,7.7
"Telecoms",10.6,4.4,0.3,0.5,11.9,10,1.9,2.2,2,3,2.4,2.1,1,2.1,3.7,2.6,2.9,2.5,1.3,4.2,6.1,7.8,29.9,15.6,6.1,4.9,0,14.9,48.5,3.2,18.6,13.2,7.4,3,6.4
"IT and information services",3.8,0.1,0,0.3,20.5,13.4,2.6,4.2,0,6.1,3.6,3.2,1.9,3.1,7.9,5.2,4.6,4.6,2.1,5.5,10,12.3,44.3,22.5,8,6.8,55.9,0,98.4,4.3,33.1,21.2,12,4.7,1.6
