Row,"Agriculture, forestry, fishing",Energy extraction,Mining (non-energy),Mining support,"Food, beverages, tobacco",Textiles & apparel,Wood,Paper & printing,Coke & refined petroleum,Chemicals & pharmaceutical,Rubber & plastic,Other mineral (non-metallic),Metal (basic),Metal (fabricated),"Computer, electronics",Electrical equip.,Machinery & equip.,Motor vehicles,Other transport equip,Other manufacturing,Utilities,Construction,Wholesale & retail,"Transportation, storage",Accomodation and food services,"Publishing, broadcasting",Telecoms,IT and information services,Finance & insurance,Realestate,Other business services,"Public admin,  defence",Education,"Healthcare, socialwork","Arts, entertainment"
"Agriculture, forestry, fishing",0,8.5,9.4,1.7,9594.1,67.4,705.2,145.6,7.6,37.8,33.3,2.2,2.4,3.7,0.6,1.2,2.4,0.2,1,11.8,37.5,102.8,202,17.5,291.3,8,1.8,1.9,7.3,28.4,70.4,45.4,35.2,48.9,57.1
"Energy extraction",40.7,0,11.2,16.4,6.2,0.4,1,2.8,66,3.7,1.2,5.5,16.5,0.6,0.1,0.2,1,0,0.1,0.3,219.8,43.9,4.8,8.3,0.7,0.4,0.6,0.7,1.8,12.8,4.6,4.6,3.6,3.7,2.9
"Mining (non-energy)",29.3,13,0,4,3.5,0.4,2.9,8.4,624.8,45.3,2.8,146.1,1357,151.4,1.4,13.2,13.9,0.1,0.8,11.3,210.2,413.6,15.5,9.9,4,0.1,0.2,0.2,1.2,9.3,4.5,5.5,0.9,0.4,3.7
"Mining support",111.1,62.5,31.7,0,9.8,0.3,1.2,2.8,8.3,1.6,2.5,3.6,5.3,1.2,0.2,0.3,1.3,0.1,0.2,0.5,32.7,77.3,7.1,5,1,1.6,1.9,3.8,5.8,6.6,10.8,6.2,3.4,1.9,3.1
"Food, beverages, tobacco",1312.6,5.1,8.4,2.2,0,32.9,18.1,42.1,33.9,77.6,54,14.3,7.1,15.7,3.6,7.8,9.5,1.2,5.3,6.4,35.4,107.8,473.8,40.9,603.1,10.2,3.8,4.8,16.4,26.9,63.5,70.9,52.5,132.4,102.2
"Textiles & apparel",34.7,2,3.5,1.5,15.1,0,7,13.3,2.6,7.1,17.9,3.4,0.6,4.4,1.1,2,3,1.3,3.9,17.3,10.1,37.4,54.1,17.3,13.7,6.6,1.3,1.1,7.3,5.4,31.8,22.7,9.4,36,27.3
"Wood",51.5,10.6,14.4,1.9,24.6,3.6,0,51.4,4.5,6.8,9.8,13.8,1.2,19,1.8,4.5,8.1,1.4,7.4,104.7,44.7,937.4,47.7,10.3,8,6.5,1.3,1.4,2.7,152.3,32.6,7.3,10.4,5.2,19.3
"Paper & printing",63.3,3,5.9,1.2,191.2,11.1,24.1,0,15.1,30.6,34.4,14.3,2.4,11.1,4.2,7,8.5,1,2.9,8.7,33.4,59.5,145.3,32.5,28.4,128.1,14.8,15.7,60.7,37.2,156.8,49.2,76.9,35.9,89.2
"Coke & refined petroleum",509.3,39.2,98.6,26.4,138.7,13.4,30.4,32.8,0,117.6,22,60.1,33.4,26.5,4.1,10.6,16.2,1.4,10.2,11.2,505.1,459,275.5,1090.4,34.2,15.7,15.3,10.8,56.5,106.4,186.4,101.3,52.3,57.6,83.7
"Chemicals & pharmaceutical",234.1,10.5,23.3,3.9,72.4,40.3,31.9,56.9,94.9,0,175.1,25,24.6,24.6,5.8,13.5,10.4,1.5,7.1,10.6,40.8,109,39,26.3,9.1,8,1.3,1.2,4.6,26,39.4,11.1,13.5,46.9,24.6
"Rubber & plastic",82.7,12.9,20.5,5.3,207.4,22.1,25.2,46.2,24.5,51.9,0,20.8,8.3,36.9,15.1,33.3,39.4,7.6,18.6,22.8,31.9,406.5,119.9,56,15.8,10,8,2.7,9,31.2,54.9,15.8,12.7,25,22.6
"Other mineral (non-metallic)",21.8,2.7,13.8,2.8,53.3,2.5,14.9,3.3,3.8,7.8,10.1,0,7.7,17.6,6,8.4,9.1,1.4,4.1,4.6,16.5,1300.3,28.8,7.5,6.9,1.4,1.4,0.7,2.9,39.9,15.5,7.4,7.6,6.5,10.9
"Metal (basic)",5.1,6.1,17.4,11.1,15,0.5,3.2,16.7,3.1,5.2,10.4,13.8,0,476.4,17.5,133.8,176.5,10,52.6,48.4,46.4,732.2,12.8,3.4,0.1,0.2,1.6,0,0.4,3.1,4.1,1.4,1,1.1,2.5
"Metal (fabricated)",78,27.6,33.4,13.5,158.5,9.1,48,22.4,23.6,16.2,32.2,24.3,84,0,21.2,92.6,187.5,12.4,48.3,46.7,84.7,1098.7,82.4,33.3,12.1,4.5,4.9,3.4,7.6,60.7,65.5,36,14.9,12,22.5
